FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y,x2,y2
395,344,Puistolan asema,Parkstad järnvägsstation,Puistolan asema,Tapulikaupungintie 1,Stapelstadsvägen 1, , , ,16,25.0343501212405,60.2751896029642,25501900.7959453,6684733.45967084
396,346,Maatullinkuja,Landtullsgränden,Maatullinkuja,Maatullinkuja 17,Landtullsgränden 17, , , ,18,25.0246919817259,60.2762367892689,25501366.3101563,6684849.89484807
397,347,Sateenkaarentie,Regnbågsvägen,Sateenkaarentie,Suutarilantie 60,Skomakarbölevägen 60, , , ,18,25.0110629825049,60.2807560752423,25500612.0764582,6685353.21581241
398,348,Siltamäki,Brobacka,Siltamäki,Jousimiehentie 3,Skyttens väg 3, , , ,12,24.9893966166804,60.2744670938261,25499413.2389568,6684652.51224818
399,349,Töyrynummentie,Lidmalmsvägen,Töyrynummentie,Töyrynummentie 2,Lidmalmsvägen 2, , , ,16,25.0039702918602,60.2719623839468,25500219.721441,6684373.40465384
400,350,Töyrynummi,Lidamalmen,Töyrynummi,Pertunpellontie 4,Bertåkersvägen 4, , , ,14,24.9929902179008,60.2671467662216,25499612.0119653,6683836.87766441
401,351,Kotinummentie,Hemmalmsvägen,Kotinummentie,Kotinummentie 68,Hemmalmsvägen 68, , , ,16,25.0135723691851,60.2675063004499,25500751.2158002,6683876.99247642
402,345,Porvarintie,Borgarvägen,Porvarintie,Porvarintie 8-10,Borgarvägen 8-10, , , ,16,25.032655333,60.27189034,25501807.195202,6684365.81834936
403,353,Helluntairaitti,Pingststråket,Helluntairaitti,Tasankotie 14,Slättvägen 14, , , ,20,25.0368876017095,60.2632142978322,25502041.9557097,6683399.28483665
404,352,Tapanilan asema,Mosabacka järnvägsstation,Tapanila railway station,Sompiontori 1,Sompiotorget 1, , , ,12,25.0281239739891,60.2633039538104,25501556.8307614,6683409.0350322
405,354,Saniaiskuja,Ormbunksgränden,Saniaiskuja,Saniaiskuja 1,Ormbunksgränden 1, , , ,16,25.0290905800296,60.25909156602,25501610.5451126,6682939.72785072
406,355,Halmetie,Brännvägen,Halmetie,Vanha Tapaninlantie 70,Gamla Staffansbyvägen 70, , , ,16,25.0176577469294,60.2609068068142,25500977.533758,6683141.7517697
407,356,Laulurastaantie,Trastvägen,Laulurastaantie,Laulurastaantie 25,Trastvägen 25, , , ,14,25.0033102423416,60.2608846521727,25500183.2553077,6683139.15717706
408,357,Vanha Tapanilantie,Gamla Staffansbyvägen,Vanha Tapanilantie,Kirkonkyläntie 79,Kyrkobyvägen 79, , , ,16,24.9897538768656,60.2596990442275,25499432.7532105,6683007.10009545
409,358,Syystie,Höstvägen,Syystie,Kirkonkyläntie 34,Kyrkobyvägen 34, , , ,18,24.9986055764439,60.256671174374,25499922.7946688,6682669.7017136
410,359,Malmin sairaala,Malms sjukhus,Malmi Hospital,Kirkonkyläntie 23,Kyrkobyvägen 23, , , ,16,25.0028280196256,60.2541586216461,25500156.5915316,6682389.76412769
411,360,Malmin asema,Malm järnvägsstation,Malmi railway station,Ylä-Malmin tori 3,Övre Malms torg 3, , , ,24,25.0091215694658,60.2523255258372,25500505.1027064,6682185.55841371
412,361,Huhtakuja,Fallåkersgränden,Huhtakuja,Kotinummentie 5,Hemmalmsvägen 5, , , ,16,25.0131080169475,60.2575633298897,25500725.7344784,6682769.17395305
413,362,Teerisuontie,Orrmossevägen,Teerisuontie,Teerisuontie 27,Orrmossevägen 27, , , ,14,25.0214900833646,60.2533940877891,25501189.964683,6682304.77277268
414,364,Ala-Malmin tori,Nedre Malms torg,Ala-Malmin tori,Pikkalankatu 5,Pickalagatan 5, , , ,20,25.0132371443462,60.2503063500603,25500733.0458927,6681960.62742889
415,363,Väärämäentie,Vindobackavägen,Väärämäentie,Väärämäentie 2-4,Vindobackavägen 2-4, , , ,12,25.0297267023462,60.2426928298539,25501646.5858376,6681112.65321466
416,365,Karviaistie,Stickelvägen,Karviaistie,Karviaistie 3,Stickelvägen 3, , , ,16,25.0078604417066,60.2468453049551,25500435.341064,6681574.96229917
417,366,Tilketori,Drevtorget,Tilketori,Tilketori 1,Drevtorget 1, , , ,20,25.0039930501515,60.2498265610789,25500221.1301594,6681907.10417894
418,367,Karhusuontie,Björnkärrsvägen,Karhusuontie,Karhusuontie 27,Björnkärrsvägen 27, , , ,14,24.9870649315623,60.2517795830055,25499283.7146241,6682124.76663187
419,372,Jokipellontie,Åfältsvägen,Jokipellontie,Jokipellontie 10,Åfältsvägen 10, , , ,16,24.9833214791834,60.2452177923159,25499076.2344612,6681393.72140437
420,368,Pukinmäen liikuntapuisto,Bocksbacka idrottspark,Pukinmäki sports park,Kenttätie 10,Fältvägen 10, , , ,14,24.9917239060614,60.2477323351629,25499541.6509332,6681673.79489623
421,369,Pukinmäen asema,Bocksbacka järnvägsstation,Pukinmäki railway station,Pukinmäenaukio 4,Bocksbackaplanen 4, , , ,16,24.9939952300621,60.2430864481668,25499667.3949695,6681156.15306053
422,370,Rapakiventie,Örstensvägen,Rapakiventie,Lucina Hagmanin kuja 1,Lucina Hagmans gränd 1, , , ,16,25.0013676173171,60.2393196827549,25500075.7612073,6680736.45935988
423,391,Tollinpolku,Tollsstigen,Tollinpolku,Luutnantinpolku 7a,Juustensvägen 4, , , ,12,24.8677110166808,60.245908525041,25492673.128615,6681477.90696925
424,373,Mikkolantie,Mickelsvägen,Mikkolantie,Mikkolantie 12,Mickelsvägen 12, , , ,16,24.9715442521575,60.2355666358133,25498423.4710316,6680318.64776226
425,374,Etupellonpuisto,Framåkersparken,Etupellonpuisto,Yhdyskunnantie 22,Samhällsvägen 22, , , ,18,24.95944937493,60.2419862673955,25497753.8200945,6681034.24978897
426,375,Piikintie,Piksvägen,Piikintie,Yhdyskunnantie 54,Samhällsvägen 54, , , ,12,24.9581440446396,60.2488559062646,25497682.0006752,6681799.68558876
427,376,Torpparinmäentie,Torparbacksvägen,Torpparinmäentie,Kuusmiehenkaari 5,Sexmansbågen 5, , , ,14,24.9447682689237,60.2568807091704,25496941.9933505,6682694.32630608
428,379,Paloheinän kirjasto,Svedängens bibliotek,Paloheinän kirjasto,Paloheinäntie 22,Svedängsvägen 22, , , ,18,24.9416682057603,60.2495097085073,25496769.6267402,6681873.22253074
429,377,Paloheinän maja,Svedängens stuga,Paloheinän maja,Pakilantie 124,Baggbölevägen 124, , , ,20,24.9183008944604,60.2552356088463,25495476.3518493,6682512.55527131
430,378,Paloheinäntie,Svedängsvägen,Paloheinäntie,Pakilantie 91,Baggbölevägen 91, , , ,16,24.9238580658345,60.2469918098113,25495782.9904549,6681593.69209187
431,380,Pirkkolan liikuntapuisto,Britas idrottspark,Pirkkolan liikuntapuisto,Pirkkolan metsätie 6,Britas skogsväg 6, , , ,14,24.9097508532821,60.232734803775,25494999.5113776,6680006.21438639
432,381,Maununneva,Magnuskärr,Maununneva,Kaarelantie 14,Kårbölevägen 14, , , ,14,24.8989998259643,60.2444085812279,25494405.8134026,6681307.72583176
433,307,Ulappasilta,Fjärdbron,Ulappasilta,Ulappasilta 1,Fjärdbron 1, , , ,18,25.1410458716813,60.2066160428581,25507821.2285236,6677101.10197333
434,382,Hakuninmaa,Håkansåker,Hakuninmaa,Perhekunnantie 8,Husfolksvägen 8, , , ,16,24.8970699007855,60.252967146995,25494300.4062252,6682261.45567434
435,383,Kuninkaantammi,Kungseken,Kuninkaantammi,Kuninkaantammenkierto 22,Kungseksringen 22, , , ,20,24.892757395895,60.259256054776,25494062.7468456,6682962.52422234
436,384,Kalannintie,Kalantivägen,Kalannintie,Kalanninpolku,Kalantistigen, , , ,14,24.8841075429141,60.2528066323977,25493582.6049281,6682244.76173455
437,386,Kannelmäen liikuntapuisto,Gamlas idrottspark,Kannelmäen liikuntapuisto,Kanneltie 12,Kantelevägen 12, , , ,16,24.8788004950615,60.2437463425961,25493286.8803475,6681235.82503367
438,385,Pajupillintie,Videlåtsvägen,Pajupillintie,Vanhaistentie 3,Gamlasvägen 3, , , ,16,24.8861026255016,60.2432353029777,25493691.2395261,6681178.16651131
439,387,Kauppakeskus Kaari,Köpcentrum Kaari,Shopping Center Kaari,Kantelettarentie 1,Kanteletarvägen 1, , , ,16,24.8894796721591,60.2363305501839,25493877.0053486,6680408.54683738
440,388,Kaustisentie,Kaustbyvägen,Kaustisentie,Pelimannintie,Spelmansvägen, , , ,16,24.8814517125501,60.2378065223104,25493432.5398259,6680573.76581418
441,389,Kannelmäen asema,Gamlas järnvägsstation,Kannelmäki railway station,Sitratori 2,Cittertorg 2, , , ,20,24.8766472489767,60.2393459909658,25493166.6979716,6680745.775316
442,371,Savela,Lerstrand,Savela,Ratavallintie 6,Banvallsvägen 6, , , ,14,24.9913872585832,60.2404948542171,25499522.9013914,6680867.42302543
443,390,Trumpettikuja,Trumpetgränden,Trumpettikuja,Trumpettitie 3,Trumpetvägen 3, , , ,16,24.869109999497,60.2391561100934,25492749.1196612,6680725.42371125
444,392,Viljelijäntie,Odlarvägen,Viljelijäntie,Viljelijäntie 5,Odlarvägen 5, , , ,16,24.8572979635334,60.2432334444678,25492095.7541742,6681181.06104705
445,393,Malminkartanon asema,Malmgård järnvägsstation,Malminkartano railway station,Luutnantinaukio,Löjtnantsplatsen, , , ,20,24.8631156423813,60.2478178576762,25492419.0536844,6681691.15680416
446,394,Tuohipolku,Näverstigen,Tuohipolku,Tuohipolku 1,Näverstigen 1, , , ,12,24.8574322593556,60.2515646859168,25492105.1980313,6682109.28112391
447,395,Honkasuo,Hongasmossa,Honkasuo,Naapuripellontie 27,Naboängsvägen 27, , , ,16,24.8465809743929,60.255557476007,25491505.3344347,6682555.4909122
448,396,Malminkartanonhuippu,Malmgårdstoppen,Malminkartano Hill,Naapuripellontie 7,Naboängsvägen 7, , , ,12,24.8486486878388,60.2504077926351,25491618.5057158,6681981.46746278
449,397,Hankasuontie,Hankmossvägen,Hankasuontie,Malminkartanontie 2,Malmgårdsvägen, , , ,16,24.8475860266275,60.2447437736882,25491558.2005833,6681350.53895172
450,398,Ajomiehentie,Körkarlsvägen,Ajomiehentie,Ajomiehentie 1,Körkarlsvägen 1, , , ,20,24.8512905063639,60.2388821009165,25491761.9099652,6680696.98557679
451,399,Vähäntuvantie,Lillstuvägen,Vähäntuvantie,Kylväjäntie 12,Såningsmansvägen 12, , , ,14,24.846165047021,60.2324510345281,25491476.3041737,6679981.11214288
452,400,Kuusisaari,Granö,Kuusisaari,Kuusisaarenpolku 1,Granöstigen 1, , , ,16,24.8567965996401,60.1845083389847,25492053.7910451,6674638.22021182
453,401,Koivusaari (M),Björkholmens metrostation,Koivusaari metro station,Sotkatie 11,Dykandsvägen 11, , , ,16,24.8551642686834,60.1633863116225,25491958.0539138,6672285.1058267
454,402,Bermudankuja,Bermudagränden,Välimerenkatu,Atlantinkatu 10,Atlantgatan 10, , , ,16,24.9101421129463,60.1549042600429,25495009.3894996,6671334.65541574
455,403,Verkkosaari,Nätholmen,Verkkosaari,Tukkutorinkuja 3,Partitorgsgränden, , , ,20,24.9775480765957,60.1895561753156,25498754.3565105,6675192.22317349
456,404,Sompasaari,Sumparn,Sompasaari,Sompasaarenlaituri 2,Sumparkajen 2, , , ,14,24.9760758238593,60.1829308185667,25498672.4077932,6674454.08480617
457,405,Jollas,Jollas,Jollas,Jollaksentie 33,Jollasvägen 33, , , ,16,25.0616678668253,60.1644074899774,25503423.9789361,6672391.66173877
